Store Name: Pantry 1 Colonia
Store Address: 440 Lake Ave
Store Phone: 7323814766
Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
SNACKS ,FIBER ONE CHOCOLATE PEANU,13,0.39,5.07,0.99,12.87
SNACKS ,Chunky King  2.75 oz,1,1.02,1.02,1.49,1.49
SNACKS ,STRIDE SPARK KINETIC MINT,7,0.94,6.58,1.79,12.53
SNACKS ,LIFESAVER GUMMIES WILDBER,7,1.17,8.19,2.29,16.03
SNACKS ,NESTLE RAISINETS SNK MIX,10,1.06,10.60,1.79,17.90
SNACKS ,LAYS HONEY MUSTARD,1,0.75,0.75,1.89,1.89
SNACKS ,SLIMJIM PEPPERONI .97OZ,2,0.73,1.46,1.29,2.58
SNACKS ,PLANTERS SPICY NUTS  CAJ,5,2.07,10.35,3.29,16.45
SNACKS ,DENTYNE ICE ARCTIC CHILL,1,0.72,0.72,1.39,1.39
SNACKS ,BUGLES HOT BUFFALO,3,1.01,3.03,1.99,5.97
SNACKS ,WRIGLEYS  5  CINNAMON,5,0.92,4.60,1.79,8.95
SNACKS ,DAVID NACHO CHEESE 5.25OZ,3,0.79,2.37,1.49,4.47
SNACKS ,tic tac lime mints,24,0.83,19.92,0.99,23.76
SNACKS ,TRIDENT WHITE SPEARMINT,2,0.72,1.44,1.59,3.18
SNACKS ,FIBER ONE CHOCOLATE FUDGE,13,0.43,5.59,0.99,12.87
SNACKS ,EXTRA DD ORANGE CREAM GUM,8,0.72,5.76,1.49,11.92
SNACKS ,STRIDE FC BERRY MINT,1,0.92,0.92,1.79,1.79
SNACKS ,STARBURST ORIGINAL KING 1,10,1.15,11.50,1.89,18.90
SNACKS ,WONDERFUL PISTACHIO SLTP,9,1.28,11.52,1.99,17.91
SNACKS ,BEEF N CHEESE 1.5 OZ,16,0.98,15.68,1.59,25.44
SNACKS ,DENTYNE SUB ZERO MINT,4,0.75,3.00,1.69,6.76
SNACKS ,WRIGLEYS 5 PEPPERMINT,57,0.36,20.52,0.69,39.33
SNACKS ,DAVID SUNFLOWER JUMBO 6,1,1.11,1.11,1.79,1.79
SNACKS ,KEEBLER TOAST PNT BTR CRK,37,0.35,12.95,0.79,29.23
SNACKS ,LAYERS REAL FRUIT FLAVOR,4,0.94,3.76,1.79,7.16
SNACKS ,FIBER ONE CHOCO PEANUT BUTTER,16,0.96,15.36,1.79,28.64
SNACKS ,CHEEZ IT HOTSPICY GROOVE,6,1.19,7.14,2.09,12.54
SNACKS ,stride non stop mint,2,0.78,1.56,1.79,3.58
SNACKS ,SP JACK LINKS AM BRKFST M,4,4.40,17.60,5.99,23.96
SNACKS ,SKITTLES BRIGHTSIDE KING,13,1.10,14.30,2.19,28.47
SNACKS ,Freshen-up Bubblegum,1,0.39,0.39,0.93,0.93
SNACKS ,LIFESAVERS BUTTER RUM 6.25OZ,5,1.43,7.15,2.79,13.95
SNACKS ,Hubba Bubba Apple tape,1,0.77,0.77,1.59,1.59
SNACKS ,L TAFY RP CHERRY 24CT,24,0.19,4.56,0.49,11.76
SNACKS ,PLANTERS CHILLI PEANUT,10,1.30,13.00,1.99,19.90
SNACKS ,ID MANGO TANGO,4,0.92,3.68,1.79,7.16
SNACKS ,ORBIT WHITE PEPPER MINT,2,0.72,1.44,1.79,3.58
SNACKS ,SP DAVID SMPLY SEED SR CR,1,1.06,1.06,1.59,1.59
SNACKS ,BOLTHOUSE FARMS GREEN GOO,6,2.44,14.64,3.99,23.94
SNACKS ,TRIDENT LAYERS,20,0.94,18.80,1.79,35.80
SNACKS ,NESTLE RAISINETS SNACK MIX,5,0.89,4.45,1.99,9.95
SNACKS ,JOLLY RANCHER CHERRY GEEE,6,0.58,3.48,1.17,7.02
SNACKS ,TRIDENT STRABERRY TWIST,9,0.71,6.39,1.59,14.31
SNACKS ,JACKLINK BEEF CHEESE 1.2O,12,0.82,9.84,1.79,21.48
SNACKS ,Laffy Taffy Grape .81oz,1,0.19,0.19,0.50,0.50
SNACKS ,BUBBLICIOUS GRAPE 5 PICES,1,0.43,0.43,0.89,0.89
SNACKS ,ALTOIDS SMALL SIMPLY MINT,1,0.78,0.78,1.49,1.49
SNACKS ,CRACKER JACKD SALTED CARAMEL,13,1.51,19.63,1.99,25.87
SNACKS ,SLIM JIM GIANT TANGY BBQ,8,0.73,5.84,1.49,11.92
SNACKS ,DENTYNE ICE MINT FROST 33,2,0.79,1.58,1.59,3.18
SNACKS ,CHEXMIX JALAPENO CHEDDAR,10,0.99,9.90,2.29,22.90
SNACKS ,ECLIPSE POLAR ICE,5,0.72,3.60,1.39,6.95
SNACKS ,NUTELLA  GO,25,1.13,28.25,1.99,49.75
SNACKS ,TRIDENT COOL BUBBLWE,1,0.72,0.72,1.59,1.59
SNACKS ,LIFESAVER 5 FLAVORS 4.2OZ,16,1.13,18.08,1.89,30.24
SNACKS ,CRUNCH NESTLE,132,0.62,81.84,1.19,157.08
SNACKS ,amp  energy drink CHERRY,4,1.75,7.00,2.79,11.16
SNACKS ,Certs Peppermint,48,0.43,20.64,0.89,42.72
SNACKS ,EXTRA DESSERT STRAWBERRY,13,0.72,9.36,1.49,19.37
SNACKS ,CHEX MIX HOTNSPICY3.75OZ.,11,0.97,10.67,1.79,19.69
SNACKS ,ANDY CAPP BBQ FRIES 3OZ/1,36,0.73,26.28,0.99,35.64
SNACKS ,SP SOUR POWER QUATRO SNAX,4,0.99,3.96,1.79,7.16
SNACKS ,DENTYNE PURE MINT CITRUS,112,0.78,87.36,1.79,200.48
SNACKS ,HONEY NUT CHEERIOS 3 OZ,1,0.98,0.98,1.79,1.79
SNACKS ,FREEDENT SPEARMINT 15 STK,4,0.70,2.80,1.39,5.56
SNACKS ,TIC TAC FRUIT ADVENTURE,15,0.80,12.00,1.49,22.35
SNACKS ,TRIDENT VITALITY VITAMIN,25,0.75,18.75,1.49,37.25
SNACKS ,CHEX CHIPS CINNAMON AND SUGAR,3,1.01,3.03,1.59,4.77
SNACKS ,BIT-O-HONEY 1.7 OZ,2,0.51,1.02,1.17,2.34
SNACKS ,STRIDE SPARK KINETIC FRUI,9,0.94,8.46,1.79,16.11
SNACKS ,SKITTLES CHANGE MAKER 100,51,0.13,6.63,0.29,14.79
SNACKS ,NESTLE BUNCHA CR SNK MX T,10,1.06,10.60,1.99,19.90
SNACKS ,SLIM JIM DELI STYLE,6,1.09,6.54,1.89,11.34
SNACKS ,Planters Salted Peanuts Tube,68,0.34,23.12,0.59,40.12
SNACKS ,DENTYNE ICE VANILLA,3,0.72,2.16,1.39,4.17
SNACKS ,NAT SOFT BAKED OATMEAL SQ,30,0.67,20.10,1.19,35.70
SNACKS ,WRIGLEYS 5 LUSH,4,0.92,3.68,1.69,6.76
SNACKS ,TIC TAC MIXERS PEACH LEMO,24,0.83,19.92,1.49,35.76
SNACKS ,TRIDENT WHITE COOL RUSH,2,0.72,1.44,1.49,2.98
SNACKS ,COOKIES,3,1.36,4.08,2.39,7.17
SNACKS ,ORBIT WHITE BUBBLEMINT 50,7,0.76,5.32,1.79,12.53
SNACKS ,NESTLE MILO 8 OZ,10,0.58,5.80,0.99,9.90
SNACKS ,STRIDE FC CITRUS-MINT,3,0.85,2.55,1.79,5.37
SNACKS ,SLIM JIM PEPPERONI CHEES,16,0.99,15.84,1.59,25.44
SNACKS ,PLANTERS TUBE NUT SHPR 10,108,0.00,0.00,3.29,355.32
SNACKS ,DAVID SUNFLOWER,10,0.89,8.90,1.49,14.90
SNACKS ,kelber toast  PBnj,11,0.35,3.85,0.79,8.69
SNACKS ,TRIDENT VITALITY BALANCE,2,0.75,1.50,1.49,2.98
SNACKS ,FIBER ONE STRAW YOGURT,7,0.96,6.72,1.79,12.53
SNACKS ,LIFE SAVER MIXOREDS SOUR,1,1.43,1.43,2.19,2.19
SNACKS ,SUNSHINE CHEEZ-IT SNACK MIX WHITE CHEDDAR 3.8OZ,1,1.28,1.28,1.99,1.99
SNACKS ,NESTLE BABY RUTH BAR,8,0.62,4.96,1.19,9.52
SNACKS ,STRIDE UBER BUBBLE,2,0.71,1.42,1.79,3.58
SNACKS ,SP JACK LINKS BF JERK PEP,4,4.53,18.12,5.99,23.96
SNACKS ,HUBBA BUBBA SOUR BLUE RAS,8,0.41,3.28,1.17,9.36
SNACKS ,LIFESAVERS WILD CHERRY 6.25OZ,1,1.43,1.43,2.29,2.29
SNACKS ,WONDERFUL ALMONDS RAW 12/,7,1.23,8.61,2.09,14.63
SNACKS ,PLANTER NUTRITION RED PAC,11,0.92,10.12,1.69,18.59
SNACKS ,STRIDE SOUR PATCH KIDS LIME,7,0.78,5.46,1.79,12.53
SNACKS ,Spearmint Gum 5 sticks,29,0.17,4.93,0.35,10.15
SNACKS ,DAVID CRACKPAPER SEED,18,1.25,22.50,1.79,32.22
SNACKS ,BOLTHOUSE FARMS MANGO SMO,6,2.44,14.64,3.99,23.94
SNACKS ,TRIDENT LAYERS PEACH-MANG,17,0.92,15.64,1.79,30.43
SNACKS ,RECHARGE DARK CHOC,1,0.87,0.87,1.49,1.49
SNACKS ,JOLLY RANCHER BITES,2,1.04,2.08,1.89,3.78
SNACKS ,STRIDE PEPPERMINT,2,0.78,1.56,1.79,3.58
SNACKS ,JACKLINK ORIGINAL 3.25OZ,48,4.36,209.28,6.99,335.52
SNACKS ,STARBURST VERY BERRY,3,0.58,1.74,1.17,3.51
SNACKS ,Freshen-up Spearmint Gum,4,0.39,1.56,0.93,3.72
SNACKS ,Life Savers SpearOmint,5,0.43,2.15,1.29,6.45
SNACKS ,LIFESAVER GUMMI COOLER 7OZ,1,1.42,1.42,2.79,2.79
,Total,2660,,$2063.48,,$4259.45
TOBACCO,,,,
TOBACCO,MAVERICK GOLD,12,0.00,0.00,7.10,85.20
TOBACCO,Capri JADE 100,12,0.00,0.00,10.44,125.28
TOBACCO,@MARLBORO MEN GOLD BOX $.,70,0.00,0.00,8.07,564.90
TOBACCO,CAMEL SILVER BOX,5,0.00,0.00,8.16,40.80
TOBACCO,MARLBORO SOUTHERN CUT $1.00 OFF,2,0.00,0.00,8.27,16.54
TOBACCO,MAVERICK MEN GOLD 100,10,0.00,0.00,7.10,71.00
TOBACCO,MARLBORO 72 BLUE,6,0.00,0.00,7.62,45.72
TOBACCO,SALEM SILVER,15,0.00,0.00,8.59,128.85
TOBACCO,Camel Wides Light Box,2,0.00,0.00,8.16,16.32
TOBACCO,PALL MALL UL MENTHOL,5,0.00,0.00,7.10,35.50
TOBACCO,PARLIAMENT MEN LIGHT 100,2,0.00,0.00,9.06,18.12
TOBACCO,SALEM GOLD,14,0.00,0.00,8.59,120.26
TOBACCO,MARLBORO MENTHOL RICH BLU,11,0.00,0.00,8.45,92.95
TOBACCO,CAMEL NO 9 REG,10,0.00,0.00,8.16,81.60
TOBACCO,NEWPORT PLATINUM BOX,5,0.00,0.00,6.05,30.25
TOBACCO,WINSTON RED,9,0.00,0.00,7.50,67.50
TOBACCO,BASIC LT BOX,10,0.00,0.00,7.98,79.80
TOBACCO,GAME LEAF BLK/CHRY 2/$.99,15,0.82,12.30,1.19,17.85
TOBACCO,NEWPORT PLATINUM BLUE 100,4,0.00,0.00,8.26,33.04
TOBACCO,MERIT GOLD SOFT,13,0.00,0.00,10.13,131.69
TOBACCO,CAMEL JADE TURKISH BLEND,5,0.00,0.00,8.16,40.80
TOBACCO,@MARLBORO MEN BLUE 100 BO,10,0.00,0.00,8.45,84.50
TOBACCO,WINSTON GOLD 100,4,0.00,0.00,7.50,30.00
TOBACCO,PALL MALL MENTHOL,6,0.00,0.00,7.10,42.60
TOBACCO,MARLBORO VIRGINIA BLEND 100,16,0.00,0.00,8.45,135.20
TOBACCO,SALEM SILVER 100,7,0.00,0.00,8.59,60.13
TOBACCO,CAMEL ROYAL BOX,2,0.00,0.00,8.16,16.32
TOBACCO,SALEM GOLD 100,23,0.00,0.00,8.59,197.57
TOBACCO,GAME CIGARIL.GOLD $.79 UP,24,0.61,14.64,0.99,23.76
TOBACCO,MARLBORO SLATE BOX,1,0.00,0.00,7.06,7.06
TOBACCO,CAMEL CRUSH .75 OFF DEAL,20,0.00,0.00,7.88,157.60
TOBACCO,ACID RED .99,21,0.00,0.00,0.99,20.79
TOBACCO,SALEM BOX,1,0.00,0.00,8.59,8.59
TOBACCO,BASIC MENTHOL,10,0.00,0.00,5.21,52.10
TOBACCO,CAMEL FILTER 99,4,0.00,0.00,8.16,32.64
TOBACCO,@CAMEL JADE TURKISH BLND,19,0.00,0.00,8.16,155.04
TOBACCO,MARLBORO MIDNIGHT-.50C OFF,1,0.00,0.00,8.45,8.45
TOBACCO,MAVERICK RED,10,0.00,0.00,7.10,71.00
TOBACCO,PALL MALL MENTHOL BLACK,11,0.00,0.00,7.10,78.10
TOBACCO,MARLBORO MEN BLACK  .50 OFF,11,0.00,0.00,7.59,83.49
TOBACCO,Vantage Soft,405,0.00,0.00,9.86,3993.30
TOBACCO,CAMEL GOLD TURKISH BLEND,1,0.00,0.00,8.16,8.16
TOBACCO,MARLBORO SKYLINE 100,10,0.00,0.00,8.45,84.50
TOBACCO,SALEM SLIM 100,2,0.00,0.00,8.59,17.18
TOBACCO,MARLBORO SLATE-100,1,0.00,0.00,7.59,7.59
TOBACCO,WINSTON WHITE,12,0.00,0.00,7.50,90.00
TOBACCO,LOGIC PRO PLAT MENTH CAPS,6,0.00,0.00,12.05,72.30
TOBACCO,Basic Menthol Lights,10,0.00,0.00,7.98,79.80
TOBACCO,SALEM BOX 100,4,0.00,0.00,8.59,34.36
TOBACCO,MARLBORO EDGE,2,0.00,0.00,8.45,16.90
TOBACCO,CAMEL NO 9 MEN 100,3,0.00,0.00,8.16,24.48
TOBACCO,NEWPORT PLATINUM 100 BOX,9,0.00,0.00,8.26,74.34
TOBACCO,Camel Non Filter,11,0.00,0.00,10.32,113.52
TOBACCO,BASIC FULL FLAVOR,10,0.00,0.00,8.07,80.70
TOBACCO,WINSTON RED 100,5,0.00,0.00,7.50,37.50
TOBACCO,W/OWL CIGARIL.WATER.2/$.9,28,0.82,22.96,0.99,27.72
TOBACCO,MISTY ROSE 100,3,0.00,0.00,7.73,23.19
,Total,960,,$49.9,,$7894.45
,Grand Total,7520,,$8807.78,,$22701.48
